日期,凭证号,科目,部门,摘要,金额,备注
2024-01-03,V001,办公费,行政部,购买办公用品,1250.00,
2024-01-05,V002,差旅费,销售部,北京出差交通住宿,3850.50,高铁+酒店
2024-01-08,V003,招待费,总经办,客户招待餐饮,2680.00,
2024-01-10,V004,办公费,行政部,A4纸和墨盒采购,890.00,
2024-01-12,V005,咨询费,财务部,年度审计咨询服务,50000.00,年度合同
2024-01-15,V006,差旅费,技术部,上海技术交流,4200.00,
2024-01-17,V007,办公费,行政部,电脑配件,3500.75,
2024-01-19,V008,招待费,销售部,渠道商答谢宴,5200.00,
2024-01-22,V009,差旅费,总经办,广州行业峰会,6800.00,
2024-01-24,V010,办公费,行政部,打印纸和水,456.50,
2024-01-26,V011,咨询费,技术部,系统安全评估,35000.00,
2024-01-29,V012,招待费,总经办,政府考察接待,4500.00,
2024-02-01,V013,差旅费,销售部,深圳客户拜访,3100.00,
2024-02-03,V014,办公费,行政部,办公家具,12500.00,
2024-02-05,V015,招待费,销售部,年终客户答谢,28000.00,
2024-02-07,V016,办公费,行政部,绿植租赁,800.00,
2024-02-10,V017,差旅费,技术部,杭州技术培训,5600.00,
2024-02-12,V018,咨询费,总经办,战略规划咨询,80000.00,
2024-02-14,V019,招待费,行政部,元宵节活动,3200.00,
2024-02-17,V020,差旅费,销售部,成都市场调研,4800.00,
2024-02-19,V021,办公费,技术部,开发工具订阅,2400.00,
2024-02-21,V022,咨询费,财务部,税务筹划咨询,20000.00,
2024-02-24,V023,招待费,销售部,重点客户拜访,6500.00,
2024-02-26,V024,差旅费,总经办,三亚战略会,12500.00,
2024-02-28,V025,办公费,行政部,办公室装修尾款,85000.00,
2024-03-02,V026,招待费,总经办,外宾接待,12000.00,
2024-03-04,V027,差旅费,技术部,深圳研发中心,3800.00,
2024-03-07,V028,办公费,行政部,网费年费,3600.00,
2024-03-10,V029,咨询费,技术部,数据合规咨询,45000.00,
2024-03-12,V030,招待费,销售部,季度答谢宴,16800.00,
2024-03-14,V031,差旅费,销售部,重庆业务拓展,4200.00,
2024-03-17,V032,办公费,行政部,保洁服务费,2800.00,
2024-03-19,V033,咨询费,总经办,IPO前期辅导,150000.00,重大项目
2024-03-22,V034,招待费,财务部,审计师招待,3500.00,
2024-03-24,V035,差旅费,技术部,北京技术峰会,7500.00,
2024-03-27,V036,办公费,行政部,消防器材更新,5600.00,
2024-03-29,V037,招待费,总经办,董事会晚宴,25000.00,
2024-04-01,V038,差旅费,销售部,昆明渠道考察,5200.00,
2024-04-03,V039,办公费,行政部,办公设备维修,1800.00,
2024-04-06,V040,咨询费,财务部,内控体系建设,60000.00,
2024-04-08,V041,招待费,销售部,新客户开发宴请,4800.00,
2024-04-11,V042,差旅费,总经办,厦门投资考察,6800.00,
2024-04-13,V043,办公费,行政部,电费缴纳,12500.00,季度电费
2024-04-16,V044,咨询费,技术部,IT架构评估,28000.00,
2024-04-18,V045,招待费,技术部,技术合作方招待,3600.00,
2024-04-20,V046,差旅费,销售部,西安市场开拓,5500.00,
2024-04-23,V047,办公费,行政部,物业费,9500.00,季度物业
2024-04-25,V048,招待费,总经办,股东接待晚宴,18000.00,
2024-04-28,V049,差旅费,技术部,贵阳数据中心考察,6500.00,
2024-05-01,V050,办公费,行政部,劳动节福利,35000.00,全员福利
2024-05-03,V051,咨询费,总经办,品牌战略咨询,95000.00,
2024-05-05,V052,招待费,销售部,签约仪式庆祝,15000.00,
2024-05-08,V053,差旅费,财务部,税务培训,2800.00,
2024-05-10,V054,办公费,技术部,服务器租用费,22000.00,年付
2024-05-12,V055,招待费,总经办,行业协会交流,8500.00,
2024-05-15,V056,差旅费,销售部,南宁业务洽谈,3600.00,
2024-05-17,V057,咨询费,财务部,资产评估咨询,42000.00,
2024-05-20,V058,办公费,行政部,空调维修,2400.00,
2024-05-22,V059,招待费,销售部,新产品发布酒会,52000.00,大型活动
2024-05-25,V060,差旅费,技术部,武汉技术大会,5800.00,
2024-05-27,V061,办公费,行政部,饮用水年卡,3000.00,
2024-05-30,V062,咨询费,总经办,股权激励方案,78000.00,
2024-06-01,V063,招待费,行政部,端午活动,8500.00,
